jy,jx,jz
3,10,17
3,10,18
3,10,19
3,10,20
3,10,21
3,10,22
3,10,23
3,10,24
3,10,25
3,10,37
3,10,38
3,10,39
3,10,40
3,10,41
3,10,42
3,10,43
3,10,44
3,10,45
3,10,46
3,10,47
3,10,48
3,10,49
3,10,50
3,10,51
3,10,52
3,10,53
3,11,6
3,11,7
3,11,8
3,11,9
3,11,10
3,11,11
3,11,12
3,11,13
3,11,14
3,11,15
3,11,16
3,11,17
3,11,18
3,11,19
3,11,20
3,11,21
3,11,22
3,11,23
3,11,24
3,11,37
3,11,38
3,11,39
3,11,40
3,11,41
3,11,42
3,11,43
3,11,44
3,11,45
3,11,46
3,11,47
3,11,48
3,11,49
3,11,50
3,11,51
3,11,52
3,11,53
3,12,7
3,12,8
3,12,9
3,12,10
3,12,11
3,12,12
3,12,13
3,12,14
3,12,15
3,12,16
3,12,17
3,12,18
3,12,19
3,12,20
3,12,21
3,12,22
3,12,23
3,12,41
3,12,42
3,12,47
3,12,48
3,12,49
3,12,50
3,12,51
3,13,7
3,13,8
3,13,9
3,13,10
3,13,11
3,13,12
3,13,13
3,13,14
3,13,15
3,13,16
3,13,17
3,13,18
3,13,19
3,13,20
3,13,21
3,13,22
3,13,27
3,14,8
3,14,9
3,14,10
3,14,11
3,14,12
3,14,13
3,14,14
3,14,15
3,14,16
3,14,17
3,14,18
3,14,19
3,14,20
3,15,10
3,15,11
3,15,12
3,15,13
3,15,14
3,15,15
3,15,16
3,15,17
3,15,18
3,15,19
3,16,14
3,16,15
3,16,16
4,2,28
4,2,41
4,2,42
4,2,43
4,2,44
4,2,45
4,2,46
4,2,47
4,2,48
4,2,49
4,2,50
4,2,51
4,2,52
4,3,3
4,3,4
4,3,5
4,3,6
4,3,7
4,3,9
4,3,10
4,3,11
4,3,12
4,3,13
4,3,14
4,3,15
4,3,16
4,3,17
4,3,18
4,3,21
4,3,22
4,3,23
4,3,24
4,3,25
4,3,26
4,3,27
4,3,28
4,3,38
4,3,39
4,3,40
4,3,41
4,3,42
4,3,43
4,3,44
4,3,45
4,3,46
4,3,47
4,3,48
4,3,49
4,3,50
4,3,51
4,3,52
4,4,1
4,4,2
4,4,3
4,4,4
4,4,5
4,4,6
4,4,7
4,4,8
4,4,9
4,4,10
4,4,11
4,4,12
4,4,13
4,4,14
4,4,15
4,4,16
4,4,17
4,4,18
4,4,19
4,4,20
4,4,21
4,4,22
4,4,23
4,4,24
4,4,25
4,4,26
4,4,27
4,4,28
4,4,36
4,4,37
4,4,38
4,4,39
4,4,40
4,4,41
4,4,42
4,4,43
4,4,44
4,4,45
4,4,46
4,4,47
4,4,48
4,4,49
4,4,50
4,4,51
4,4,52
4,5,1
4,5,2
4,5,3
4,5,4
4,5,5
4,5,6
4,5,7
4,5,8
4,5,9
4,5,10
4,5,11
4,5,12
4,5,13
4,5,14
4,5,15
4,5,16
4,5,17
4,5,18
4,5,19
4,5,20
4,5,21
4,5,22
4,5,23
4,5,24
4,5,25
4,5,26
4,5,27
4,5,28
4,5,29
4,5,30
4,5,36
4,5,37
4,5,38
4,5,39
4,5,40
4,5,41
4,5,42
4,5,43
4,5,44
4,5,45
4,5,46
4,5,47
4,5,48
4,5,49
4,5,50
4,5,51
4,5,52
4,6,1
4,6,2
4,6,3
4,6,4
4,6,5
4,6,6
4,6,7
4,6,8
4,6,9
4,6,10
4,6,11
4,6,12
4,6,13
4,6,14
4,6,15
4,6,16
4,6,17
4,6,18
4,6,19
4,6,20
4,6,21
4,6,22
4,6,23
4,6,24
4,6,25
4,6,26
4,6,27
4,6,28
4,6,29
4,6,30
4,6,36
4,6,37
4,6,38
4,6,39
4,6,40
4,6,41
4,6,42
4,6,43
4,6,44
4,6,45
4,6,46
4,6,47
4,6,48
4,6,49
4,6,50
4,6,51
4,6,52
4,7,2
4,7,3
4,7,4
4,7,5
4,7,6
4,7,7
4,7,8
4,7,9
4,7,10
4,7,11
4,7,12
4,7,13
4,7,14
4,7,15
4,7,16
4,7,17
4,7,18
4,7,19
4,7,20
4,7,21
4,7,22
4,7,23
4,7,24
4,7,25
4,7,26
4,7,27
4,7,28
4,7,29
4,7,30
4,7,36
4,7,37
4,7,38
4,7,39
4,7,40
4,7,41
4,7,42
4,7,43
4,7,44
4,7,45
4,7,46
4,7,47
4,7,48
4,7,49
4,7,50
4,7,51
4,7,52
4,8,3
4,8,4
4,8,5
4,8,6
4,8,7
4,8,8
4,8,9
4,8,10
4,8,11
4,8,12
4,8,13
4,8,14
4,8,15
4,8,16
4,8,17
4,8,18
4,8,19
4,8,20
4,8,21
4,8,22
4,8,23
4,8,24
4,8,25
4,8,26
4,8,27
4,8,28
4,8,29
4,8,30
4,8,36
4,8,37
4,8,38
4,8,39
4,8,40
4,8,41
4,8,42
4,8,43
4,8,44
4,8,45
4,8,46
4,8,47
4,8,48
4,8,49
4,8,50
4,8,51
4,8,52
4,9,3
4,9,4
4,9,5
4,9,6
4,9,7
4,9,8
4,9,9
4,9,10
4,9,11
4,9,12
4,9,13
4,9,14
4,9,15
4,9,16
4,9,17
4,9,18
4,9,19
4,9,20
4,9,21
4,9,22
4,9,23
4,9,24
4,9,25
4,9,26
4,9,27
4,9,28
4,9,29
4,9,30
4,9,36
4,9,37
4,9,38
4,9,39
4,9,40
4,9,41
4,9,42
4,9,43
4,9,44
4,9,45
4,9,46
4,9,47
4,9,48
4,9,49
4,9,50
4,9,51
4,9,52
4,9,53
4,10,5
4,10,6
4,10,7
4,10,8
4,10,9
4,10,10
4,10,11
4,10,12
4,10,13
4,10,14
4,10,15
4,10,16
4,10,17
4,10,18
4,10,19
4,10,20
4,10,21
4,10,22
4,10,23
4,10,24
4,10,25
4,10,26
4,10,27
4,10,28
4,10,36
4,10,37
4,10,38
4,10,39
4,10,40
4,10,41
4,10,42
4,10,43
4,10,44
4,10,45
4,10,46
4,10,47
4,10,48
4,10,49
4,10,50
4,10,51
4,10,52
4,10,53
4,11,6
4,11,7
4,11,8
4,11,9
4,11,10
4,11,11
4,11,12
4,11,13
4,11,14
4,11,15
4,11,16
4,11,17
4,11,18
4,11,19
4,11,20
4,11,21
4,11,22
4,11,23
4,11,24
4,11,25
4,11,26
4,11,27
4,11,28
4,11,36
4,11,37
4,11,38
4,11,39
4,11,40
4,11,41
4,11,42
4,11,43
4,11,44
4,11,45
4,11,46
4,11,47
4,11,48
4,11,49
4,11,50
4,11,51
4,11,52
4,11,53
4,12,7
4,12,8
4,12,9
4,12,10
4,12,11
4,12,12
4,12,13
4,12,14
4,12,15
4,12,16
4,12,17
4,12,18
4,12,19
4,12,20
4,12,21
4,12,22
4,12,23
4,12,24
4,12,25
4,12,26
4,12,27
4,12,28
4,12,36
4,12,37
4,12,38
4,12,39
4,12,41
4,12,42
4,12,43
4,12,44
4,12,45
4,12,46
4,12,47
4,12,48
4,12,49
4,12,50
4,12,51
4,12,52
4,12,53
4,13,7
4,13,8
4,13,9
4,13,10
4,13,11
4,13,12
4,13,13
4,13,14
4,13,15
4,13,16
4,13,17
4,13,18
4,13,19
4,13,20
4,13,21
4,13,22
4,13,23
4,13,24
4,13,26
4,13,27
4,13,41
4,13,42
4,13,43
4,13,47
4,13,48
4,13,51
4,14,7
4,14,8
4,14,9
4,14,10
4,14,11
4,14,12
4,14,13
4,14,14
4,14,15
4,14,16
4,14,17
4,14,18
4,14,19
4,14,20
4,14,21
4,14,22
4,14,26
4,14,27
4,15,8
4,15,9
4,15,10
4,15,11
4,15,12
4,15,13
4,15,14
4,15,15
4,15,16
4,15,17
4,15,18
4,15,19
4,15,20
4,15,21
4,15,22
4,16,14
4,16,15
4,16,16
4,16,17
4,16,18
4,16,19
5,2,5
5,2,10
5,2,15
5,2,18
5,2,20
5,2,21
5,2,22
5,2,23
5,2,24
5,2,25
5,2,26
5,2,27
5,2,28
5,2,29
5,2,30
5,2,36
5,2,37
5,2,38
5,2,39
5,2,40
5,2,41
5,2,42
5,2,43
5,2,44
5,2,45
5,2,46
5,2,47
5,2,48
5,2,49
5,2,50
5,2,51
5,2,52
5,3,2
5,3,3
5,3,4
5,3,5
5,3,6
5,3,7
5,3,8
5,3,9
5,3,10
5,3,11
5,3,12
5,3,13
5,3,14
5,3,15
5,3,16
5,3,17
5,3,18
5,3,19
5,3,20
5,3,21
5,3,22
5,3,23
5,3,24
5,3,25
5,3,26
5,3,27
5,3,28
5,3,29
5,3,30
5,3,31
5,3,32
5,3,35
5,3,36
5,3,37
5,3,38
5,3,39
5,3,40
5,3,41
5,3,42
5,3,43
5,3,44
5,3,45
5,3,46
5,3,47
5,3,48
5,3,49
5,3,50
5,3,51
5,3,52
5,4,1
5,4,2
5,4,3
5,4,4
5,4,5
5,4,6
5,4,7
5,4,8
5,4,9
5,4,10
5,4,11
5,4,12
5,4,13
5,4,14
5,4,15
5,4,16
5,4,17
5,4,18
5,4,19
5,4,20
5,4,21
5,4,22
5,4,23
5,4,24
5,4,25
5,4,26
5,4,27
5,4,28
5,4,29
5,4,30
5,4,31
5,4,32
5,4,34
5,4,35
5,4,36
5,4,37
5,4,38
5,4,39
5,4,40
5,4,41
5,4,42
5,4,43
5,4,44
5,4,45
5,4,46
5,4,47
5,4,48
5,4,49
5,4,50
5,4,51
5,4,52
5,5,1
5,5,2
5,5,3
5,5,4
5,5,5
5,5,6
5,5,7
5,5,8
5,5,9
5,5,10
5,5,11
5,5,12
5,5,13
5,5,14
5,5,15
5,5,16
5,5,17
5,5,18
5,5,19
5,5,20
5,5,21
5,5,22
5,5,23
5,5,24
5,5,25
5,5,26
5,5,27
5,5,28
5,5,29
5,5,30
5,5,31
5,5,32
5,5,34
5,5,35
5,5,36
5,5,37
5,5,38
5,5,39
5,5,40
5,5,41
5,5,42
5,5,43
5,5,44
5,5,45
5,5,46
5,5,47
5,5,48
5,5,49
5,5,50
5,5,51
5,5,52
5,6,1
5,6,2
5,6,3
5,6,4
5,6,5
5,6,6
5,6,7
5,6,8
5,6,9
5,6,10
5,6,11
5,6,12
5,6,13
5,6,14
5,6,15
5,6,16
5,6,17
5,6,18
5,6,19
5,6,20
5,6,21
5,6,22
5,6,23
5,6,24
5,6,25
5,6,26
5,6,27
5,6,28
5,6,29
5,6,30
5,6,31
5,6,34
5,6,35
5,6,36
5,6,37
5,6,38
5,6,39
5,6,40
5,6,41
5,6,42
5,6,43
5,6,44
5,6,45
5,6,46
5,6,47
5,6,48
5,6,49
5,6,50
5,6,51
5,6,52
5,7,2
5,7,3
5,7,4
5,7,5
5,7,6
5,7,7
5,7,8
5,7,9
5,7,10
5,7,11
5,7,12
5,7,13
5,7,14
5,7,15
5,7,16
5,7,17
5,7,18
5,7,19
5,7,20
5,7,21
5,7,22
5,7,23
5,7,24
5,7,25
5,7,26
5,7,27
5,7,28
5,7,29
5,7,30
5,7,31
5,7,34
5,7,35
5,7,36
5,7,37
5,7,38
5,7,39
5,7,40
5,7,41
5,7,42
5,7,43
5,7,44
5,7,45
5,7,46
5,7,47
5,7,48
5,7,49
5,7,50
5,7,51
5,7,52
5,8,3
5,8,4
5,8,5
5,8,6
5,8,7
5,8,8
5,8,9
5,8,10
5,8,11
5,8,12
5,8,13
5,8,14
5,8,15
5,8,16
5,8,17
5,8,18
5,8,19
5,8,20
5,8,21
5,8,22
5,8,23
5,8,24
5,8,25
5,8,26
5,8,27
5,8,28
5,8,29
5,8,30
5,8,31
5,8,34
5,8,35
5,8,36
5,8,37
5,8,38
5,8,39
5,8,40
5,8,41
5,8,42
5,8,43
5,8,44
5,8,45
5,8,46
5,8,47
5,8,48
5,8,49
5,8,50
5,8,51
5,8,52
5,9,4
5,9,5
5,9,6
5,9,7
5,9,8
5,9,9
5,9,10
5,9,11
5,9,12
5,9,13
5,9,14
5,9,15
5,9,16
5,9,17
5,9,18
5,9,19
5,9,20
5,9,21
5,9,22
5,9,23
5,9,24
5,9,25
5,9,26
5,9,27
5,9,28
5,9,29
5,9,30
5,9,31
5,9,34
5,9,35
5,9,36
5,9,37
5,9,38
5,9,39
5,9,40
5,9,41
5,9,42
5,9,43
5,9,44
5,9,45
5,9,46
5,9,47
5,9,48
5,9,49
5,9,50
5,9,51
5,9,52
5,9,53
5,10,6
5,10,7
5,10,8
5,10,9
5,10,10
5,10,11
5,10,12
5,10,13
5,10,14
5,10,15
5,10,16
5,10,17
5,10,18
5,10,19
5,10,20
5,10,21
5,10,22
5,10,23
5,10,24
5,10,25
5,10,26
5,10,27
5,10,28
5,10,29
5,10,30
5,10,34
5,10,35
5,10,36
5,10,37
5,10,38
5,10,39
5,10,40
5,10,41
5,10,42
5,10,43
5,10,44
5,10,45
5,10,46
5,10,47
5,10,48
5,10,49
5,10,50
5,10,51
5,10,52
5,10,53
5,11,7
5,11,8
5,11,9
5,11,10
5,11,11
5,11,12
5,11,13
5,11,14
5,11,15
5,11,16
5,11,17
5,11,18
5,11,19
5,11,20
5,11,21
5,11,22
5,11,23
5,11,24
5,11,25
5,11,26
5,11,27
5,11,28
5,11,29
5,11,30
5,11,34
5,11,35
5,11,36
5,11,37
5,11,38
5,11,39
5,11,40
5,11,41
5,11,42
5,11,43
5,11,44
5,11,45
5,11,46
5,11,47
5,11,48
5,11,49
5,11,50
5,11,51
5,11,52
5,11,53
5,12,6
5,12,7
5,12,8
5,12,9
5,12,10
5,12,11
5,12,12
5,12,13
5,12,14
5,12,15
5,12,16
5,12,17
5,12,18
5,12,19
5,12,20
5,12,21
5,12,22
5,12,23
5,12,24
5,12,25
5,12,26
5,12,27
5,12,28
5,12,29
5,12,35
5,12,36
5,12,37
5,12,38
5,12,39
5,12,40
5,12,41
5,12,42
5,12,43
5,12,44
5,12,45
5,12,46
5,12,47
5,12,48
5,12,49
5,12,50
5,12,51
5,12,52
5,12,53
5,13,6
5,13,7
5,13,8
5,13,9
5,13,10
5,13,11
5,13,12
5,13,13
5,13,14
5,13,15
5,13,16
5,13,17
5,13,18
5,13,19
5,13,20
5,13,21
5,13,22
5,13,23
5,13,24
5,13,25
5,13,26
5,13,27
5,13,28
5,13,36
5,13,37
5,13,38
5,13,39
5,13,40
5,13,41
5,13,42
5,13,43
5,13,44
5,13,45
5,13,46
5,13,47
5,13,48
5,13,49
5,13,50
5,13,51
5,13,52
5,14,7
5,14,8
5,14,9
5,14,10
5,14,11
5,14,12
5,14,13
5,14,14
5,14,15
5,14,16
5,14,17
5,14,18
5,14,19
5,14,20
5,14,21
5,14,22
5,14,23
5,14,24
5,14,25
5,14,26
5,14,27
5,14,44
5,14,45
5,14,46
5,14,47
5,14,48
5,15,7
5,15,8
5,15,9
5,15,10
5,15,11
5,15,12
5,15,13
5,15,14
5,15,15
5,15,16
5,15,17
5,15,18
5,15,19
5,15,20
5,15,21
5,15,22
5,16,11
5,16,12
5,16,14
5,16,15
5,16,16
5,16,17
5,16,18
5,16,19
5,16,20
5,16,21
5,16,22
6,1,21
6,1,22
6,1,23
6,1,24
6,1,25
6,1,26
6,1,27
6,1,28
6,1,30
6,1,37
6,1,38
6,1,39
6,1,40
6,1,41
6,1,42
6,1,43
6,2,4
6,2,5
6,2,6
6,2,8
6,2,9
6,2,10
6,2,11
6,2,12
6,2,13
6,2,14
6,2,15
6,2,16
6,2,17
6,2,18
6,2,19
6,2,20
6,2,21
6,2,22
6,2,23
6,2,24
6,2,25
6,2,26
6,2,27
6,2,28
6,2,29
6,2,30
6,2,31
6,2,32
6,2,33
6,2,34
6,2,35
6,2,36
6,2,37
6,2,38
6,2,39
6,2,40
6,2,41
6,2,42
6,2,43
6,2,44
6,2,45
6,2,46
6,2,47
6,2,48
6,2,49
6,2,50
6,2,51
6,2,52
6,3,1
6,3,2
6,3,3
6,3,4
6,3,5
6,3,6
6,3,7
6,3,8
6,3,9
6,3,10
6,3,11
6,3,12
6,3,13
6,3,14
6,3,15
6,3,16
6,3,17
6,3,18
6,3,19
6,3,20
6,3,21
6,3,22
6,3,23
6,3,24
6,3,25
6,3,26
6,3,27
6,3,28
6,3,29
6,3,30
6,3,31
6,3,32
6,3,33
6,3,34
6,3,35
6,3,36
6,3,37
6,3,38
6,3,39
6,3,40
6,3,41
6,3,42
6,3,43
6,3,44
6,3,45
6,3,46
6,3,47
6,3,48
6,3,49
6,3,50
6,3,51
6,3,52
6,4,1
6,4,2
6,4,3
6,4,4
6,4,5
6,4,6
6,4,7
6,4,8
6,4,9
6,4,10
6,4,11
6,4,12
6,4,13
6,4,14
6,4,15
6,4,16
6,4,17
6,4,18
6,4,19
6,4,20
6,4,21
6,4,22
6,4,23
6,4,24
6,4,25
6,4,26
6,4,27
6,4,28
6,4,29
6,4,30
6,4,31
6,4,32
6,4,33
6,4,34
6,4,35
6,4,36
6,4,37
6,4,38
6,4,39
6,4,40
6,4,41
6,4,42
6,4,43
6,4,44
6,4,45
6,4,46
6,4,47
6,4,48
6,4,49
6,4,50
6,4,51
6,4,52
6,5,1
6,5,2
6,5,3
6,5,4
6,5,5
6,5,6
6,5,7
6,5,8
6,5,9
6,5,10
6,5,11
6,5,12
6,5,13
6,5,14
6,5,15
6,5,16
6,5,17
6,5,18
6,5,19
6,5,20
6,5,21
6,5,22
6,5,23
6,5,24
6,5,25
6,5,26
6,5,27
6,5,28
6,5,29
6,5,30
6,5,31
6,5,32
6,5,33
6,5,34
6,5,35
6,5,36
6,5,37
6,5,38
6,5,39
6,5,40
6,5,41
6,5,42
6,5,43
6,5,44
6,5,45
6,5,46
6,5,47
6,5,48
6,5,49
6,5,50
6,5,51
6,5,52
6,6,2
6,6,3
6,6,4
6,6,5
6,6,6
6,6,7
6,6,8
6,6,9
6,6,10
6,6,11
6,6,12
6,6,13
6,6,14
6,6,15
6,6,16
6,6,17
6,6,18
6,6,19
6,6,20
6,6,21
6,6,22
6,6,23
6,6,24
6,6,25
6,6,26
6,6,27
6,6,28
6,6,29
6,6,30
6,6,31
6,6,32
6,6,33
6,6,34
6,6,35
6,6,36
6,6,37
6,6,38
6,6,39
6,6,40
6,6,41
6,6,42
6,6,43
6,6,44
6,6,45
6,6,46
6,6,47
6,6,48
6,6,49
6,6,50
6,6,51
6,6,52
6,7,2
6,7,3
6,7,4
6,7,5
6,7,6
6,7,7
6,7,8
6,7,9
6,7,10
6,7,11
6,7,12
6,7,13
6,7,14
6,7,15
6,7,16
6,7,17
6,7,18
6,7,19
6,7,20
6,7,21
6,7,22
6,7,23
6,7,24
6,7,25
6,7,26
6,7,27
6,7,28
6,7,29
6,7,30
6,7,31
6,7,32
6,7,33
6,7,34
6,7,35
6,7,36
6,7,37
6,7,38
6,7,39
6,7,40
6,7,41
6,7,42
6,7,43
6,7,44
6,7,45
6,7,46
6,7,47
6,7,48
6,7,49
6,7,50
6,7,51
6,7,52
6,8,3
6,8,4
6,8,5
6,8,6
6,8,7
6,8,8
6,8,9
6,8,10
6,8,11
6,8,12
6,8,13
6,8,14
6,8,15
6,8,16
6,8,17
6,8,18
6,8,19
6,8,20
6,8,21
6,8,22
6,8,23
6,8,24
6,8,25
6,8,26
6,8,27
6,8,28
6,8,29
6,8,30
6,8,31
6,8,32
6,8,33
6,8,34
6,8,35
6,8,36
6,8,37
6,8,38
6,8,39
6,8,40
6,8,41
6,8,42
6,8,43
6,8,44
6,8,45
6,8,46
6,8,47
6,8,48
6,8,49
6,8,50
6,8,51
6,8,52
6,9,4
6,9,5
6,9,6
6,9,7
6,9,8
6,9,9
6,9,10
6,9,11
6,9,12
6,9,13
6,9,14
6,9,15
6,9,16
6,9,17
6,9,18
6,9,19
6,9,20
6,9,21
6,9,22
6,9,23
6,9,24
6,9,25
6,9,26
6,9,27
6,9,28
6,9,29
6,9,30
6,9,31
6,9,32
6,9,33
6,9,34
6,9,35
6,9,36
6,9,37
6,9,38
6,9,39
6,9,40
6,9,41
6,9,42
6,9,43
6,9,44
6,9,45
6,9,46
6,9,47
6,9,48
6,9,49
6,9,50
6,9,51
6,9,52
6,10,6
6,10,7
6,10,8
6,10,9
6,10,10
6,10,11
6,10,12
6,10,13
6,10,14
6,10,15
6,10,16
6,10,17
6,10,18
6,10,19
6,10,20
6,10,21
6,10,22
6,10,23
6,10,24
6,10,25
6,10,26
6,10,27
6,10,28
6,10,29
6,10,30
6,10,31
6,10,32
6,10,33
6,10,34
6,10,35
6,10,36
6,10,37
6,10,38
6,10,39
6,10,40
6,10,41
6,10,42
6,10,43
6,10,44
6,10,45
6,10,46
6,10,47
6,10,48
6,10,49
6,10,50
6,10,51
6,10,52
6,10,53
6,11,6
6,11,7
6,11,8
6,11,9
6,11,10
6,11,11
6,11,12
6,11,13
6,11,14
6,11,15
6,11,16
6,11,17
6,11,18
